ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C8520,10.0,,,
C8521,10.0,,,
C8522,10.0,,,
C8523,10.0,,,
C8524,10.0,,,
C8525,10.0,,,
C8526,10.0,,,
C8527,10.0,,,
C8528,10.0,,,
C8529,10.0,,,
C852A,10.0,,,
C8580,10.0,,,
C8581,10.0,,,
C8582,10.0,,,
C8583,10.0,,,
C8584,10.0,,,
C8585,10.0,,,
C8586,10.0,,,
C8587,10.0,,,
C8588,10.0,,,
C8589,10.0,,,
C858A,10.0,,,
C8590,10.0,,,
C8591,10.0,,,
C8592,10.0,,,
C8593,10.0,,,
C8594,10.0,,,
C8595,10.0,,,
C8596,10.0,,,
C8597,10.0,,,
C8598,10.0,,,
C8599,10.0,,,
C859A,10.0,,,
C8600,10.0,,,
C8601,10.0,,,
C8610,10.0,,,
C8611,10.0,,,
C8620,10.0,,,
C8621,10.0,,,
C8630,10.0,,,
C8631,10.0,,,
C8640,10.0,,,
C8641,10.0,,,
C8650,10.0,,,
C8651,10.0,,,
C8660,10.0,,,
C8661,10.0,,,
C8800,23.0,,,
C8801,23.0,,,
C8820,10.0,,,
C8821,10.0,,,
C8830,10.0,,,
C8831,10.0,,,
C8840,10.0,,,
C8841,10.0,,,
C8880,10.0,,,
C8881,10.0,,,
C8890,10.0,,,
C8891,10.0,,,
C9000,9.0,,,
C9001,9.0,,,
C9002,9.0,,,
C9010,9.0,,,
C9011,9.0,,,
C9012,9.0,,,
C9020,9.0,,,
C9021,9.0,,,
